study_id,kind,id,confidence,basis,notes
S001,position,p-media-attessia-ouertani,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S201,position,p-douane-jaouadi,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S202,position,p-pm-chahed,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S203,relationship,board-stb-star-thuillier,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S204,position,p-relaff-se-chebbi,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S205,worldClaim,cc-turkey-fta-kills-industry,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S206,relationship,rel-moncef-marzouki-cpr-party,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S207,licence,lic-zitouna-bank-2009,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S208,event,mabrouk-appeal-2026,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S209,worldClaim,contested-algerie-frontiere-litige-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S210,relationship,rel-marzouki-jomaa-appointment,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → B/reported
S211,relationship,rel-hedi-bouchamaoui-utica-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S212,relationship,rel-youssef-chahed-selma-elloumi-appointment,B,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → B/reported
S213,agreement,arab-maghreb-union-treaty,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S214,position,p-csee-sg-boughdiri,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S215,relationship,rel-nesrine-ben-ali-ben-ali-family,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S216,position,p-presec-belhajali,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S217,relationship,own-bukhatir-scit-2026-08-20,B,reported,Simulated (rubric-only): 6 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S218,position,p-cassation-taieb-rached,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S219,event,mraihi-arrested-2024,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S220,event,tunisia-summons-french-ambassador-2026,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S221,position,p-admin-abdessalem-mehdi-grissiaa,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S222,company,alstom,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S223,relationship,rel-yadh-ben-achour-presidency-appointment,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S224,relationship,own-mabrouk-investec-100,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S225,position,p-pm-madouri,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S226,position,p-media-leaders-habaieb,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S227,relationship,rel-moncef-marzouki-ltdh-institutional,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S228,company,steg-energies-renouvelables,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S229,contract,ctr-gct-bangladesh-2024,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S230,education,edu-marzouki-strasbourg-md,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S231,event,army-founded,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred
S232,position,p-justice-bouaziz,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S233,position,p-foreign-escheikh,B,reported,Simulated (rubric-only): 5 tier≤4 source(s), minTier=1, hasTier1=true → B/reported
S234,position,p-csm-bouzakher,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S235,position,p-soe-sncft-taoufik-boufaied,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S236,position,p-int-khefacha-2,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S237,event,ev-libya-dbeibah-talks-tunis-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S238,contract,ctr-tunisair-airbus-a320neo-2016,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S239,position,p-pm-zaafarani,A,documented,Simulated (rubric-only): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S240,position,p-onat-chawki-tabib,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S241,position,p-air-hajem,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S242,event,cour-des-comptes-losses-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S243,worldClaim,agg-public-debt-total-2024,A,documented,Simulated (rubric-only): 6 tier≤4 source(s), minTier=2, hasTier1=false → A/documented
S244,relationship,rel-sana-gammoudi-hannibal-tv-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S245,position,p-int-feki,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S246,declaration,decl-gap-verification,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → B/reported
S247,declaration,decl-essebsi-2018,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S248,position,p-foreign-drif,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S249,relationship,rel-radio-zaytouna-ennahda-reported-influence,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S250,relationship,board-bna-habib-benhadj-kouider,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S251,relationship,rel-saida-sassi-bourguiba-family,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S252,company,poulina,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S253,relationship,board-biat-cyrine-sanchou,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S254,agreement,us-tunisia-defense-roadmap-2020,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S255,relationship,board-gct-bouzouada,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S256,relationship,rel-judiciary-abdessalem-bouchlaka-prosecution,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S257,relationship,rel-united-arab-emirates-presidency-diplomatic,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S258,position,p-gv-slaheddine-baccouche,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S259,event,constitution-2014,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S260,relationship,rel-mebazaa-mechichi-reported-influence,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S261,relationship,rel-khaled-yahyaoui-judiciary-allegation,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred
S262,event,isie-ordinance-544-2024,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S263,relationship,board-tunisair-loukil-yaakoubi,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S264,position,p-media-ett-gouja,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S265,position,p-speaker-baly,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S266,relationship,rel-european-union-presidency-diplomatic,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S267,relationship,rel-judiciary-said-ferjani-prosecution,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S268,agreement,eu-association-agreement,A,documented,Simulated (rubric-only): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S269,relationship,own-miled-biat-12,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S270,position,p-gv-rejeb-khaznadar,B,reported,Simulated (rubric-only): 5 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S271,event,laarayedh-sentenced,D,unsubstantiated,Simulated (rubric-only): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated
S272,relationship,board-poulina-bouzguenda,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S273,relationship,board-stb-lotfi-debbabi,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S274,event,nsc-created,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S275,relationship,own-mabrouk-tunisie-valeurs-5047,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S276,relationship,rel-dhafer-sghiri-presidency-reported-influence,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S277,agreement,turkey-tunisia-fta,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S278,position,p-media-ett-dali,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S279,declaration,decl-confiscation-2011,A,documented,Simulated (rubric-only): 5 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S280,relationship,rel-samir-el-wafi-el-hiwar-ettounsi-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S281,position,p-onat-mohamed-fadhel-mahfoudh,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported
S282,position,p-def-shili,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S283,relationship,rel-amel-ben-yedder-amen-bank-business,A,documented,Simulated (rubric-only): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S284,event,belaid-verdict-2024,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S285,position,p-nsa-hamdi,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S286,relationship,rel-lotfi-brahem-ministry-interior-security,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S287,relationship,rel-moncef-mzabi-ben-ali-institutional,C,inferred,Simulated (rubric-only): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred
S288,position,p-soe-poste-sami-mekki,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S289,worldClaim,agg-tourism-arrivals-2024,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported
S290,agreement,bit-kuwait-1973,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported
S291,relationship,rel-kais-saied-rached-ghannouchi-political-conflict,B,reported,Simulated (rubric-only): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S292,relationship,rel-european-union-presidency-allegation,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S293,relationship,own-stb-wifak-45,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S294,declaration,decl-2011-regime-8717,A,documented,Simulated (rubric-only): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented
S295,event,bensedrine-sentenced-2026,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S296,position,p-justice-zouari,B,reported,Simulated (rubric-only): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S297,event,ev-naufrage-zarzis-2026,B,reported,Simulated (rubric-only): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported
S298,education,edu-saied-ihl-sanremo,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
S299,relationship,rel-ltdh-national-dialogue-quartet-institutional,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported
S300,position,p-foreign-kefi,C,reported,Simulated (rubric-only): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported
