study_id,kind,id,confidence,basis,notes
S001,position,p-media-attessia-ouertani,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S167,relationship,rel-youssef-saheb-ettabaa-mohamed-larbi-zarrouk-political-conflict,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S168,event,rcd-dissolved,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred (few-shot regime, lower noise)
S169,relationship,board-biat-elyes-jebir,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S170,event,haica-established,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S171,education,edu-marzouki-bac-regnault,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S172,relationship,board-biat-ismail-mabrouk,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S173,event,election-locales-2023,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S174,position,p-int-ghannouchi,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S175,relationship,rel-khaled-yahyaoui-kais-saied-reported-influence,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S176,position,p-finance-zribi,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S177,relationship,own-stb-sonibank-25,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S178,relationship,rel-amel-ben-yedder-utica-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S179,position,p-finance-chalghoum-2,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S180,company,investec,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S181,event,2022-constitutional-referendum,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S182,position,p-pres-saied,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S183,relationship,board-tunisair-bnouni,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S184,event,inlucc-established,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S185,relationship,rel-qatar-ennahda-reported-influence,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S186,relationship,rel-youssef-chahed-tahya-tounes-party,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S187,declaration,decl-chahed-2018,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S188,relationship,rel-olfa-riahi-el-hiwar-ettounsi-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S189,relationship,rel-fouad-mebazaa-rcd-party,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S190,position,p-gv-mohamed-chenik,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S191,contract,ctr-elmed-interconnector-2022,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S192,position,p-gv-taieb-djellouli,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S193,position,p-justice-snoussi,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S194,event,ammar-retires,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S195,position,p-justice-tjeribi,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S196,event,relaff-direction-created-1967,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S197,relationship,rel-ichraf-chebil-clan-membership,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S198,relationship,rel-mohamed-ennaceur-nidaa-tounes-party,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S199,event,legislatives-2022,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S200,position,p-cabdir-elloumi,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S201,position,p-douane-jaouadi,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S202,position,p-pm-chahed,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S203,relationship,board-stb-star-thuillier,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S204,position,p-relaff-se-chebbi,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S205,worldClaim,cc-turkey-fta-kills-industry,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S206,relationship,rel-moncef-marzouki-cpr-party,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred (few-shot regime, lower noise)
S207,licence,lic-zitouna-bank-2009,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S208,event,mabrouk-appeal-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S209,worldClaim,contested-algerie-frontiere-litige-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S210,relationship,rel-marzouki-jomaa-appointment,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S211,relationship,rel-hedi-bouchamaoui-utica-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S212,relationship,rel-youssef-chahed-selma-elloumi-appointment,B,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → B/reported (few-shot regime, lower noise)
S213,agreement,arab-maghreb-union-treaty,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S214,position,p-csee-sg-boughdiri,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → A/documented (few-shot regime, lower noise)
S215,relationship,rel-nesrine-ben-ali-ben-ali-family,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S216,position,p-presec-belhajali,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S217,relationship,own-bukhatir-scit-2026-08-20,B,reported,Simulated (rubric+examples): 6 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S218,position,p-cassation-taieb-rached,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S219,event,mraihi-arrested-2024,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S220,event,tunisia-summons-french-ambassador-2026,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S221,position,p-admin-abdessalem-mehdi-grissiaa,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S222,company,alstom,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S223,relationship,rel-yadh-ben-achour-presidency-appointment,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S224,relationship,own-mabrouk-investec-100,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S225,position,p-pm-madouri,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S226,position,p-media-leaders-habaieb,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S227,relationship,rel-moncef-marzouki-ltdh-institutional,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S228,company,steg-energies-renouvelables,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S229,contract,ctr-gct-bangladesh-2024,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S230,education,edu-marzouki-strasbourg-md,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S231,event,army-founded,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S232,position,p-justice-bouaziz,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S233,position,p-foreign-escheikh,A,documented,Simulated (rubric+examples): 5 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S234,position,p-csm-bouzakher,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S235,position,p-soe-sncft-taoufik-boufaied,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S236,position,p-int-khefacha-2,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S237,event,ev-libya-dbeibah-talks-tunis-2026,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S238,contract,ctr-tunisair-airbus-a320neo-2016,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S239,position,p-pm-zaafarani,A,documented,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S240,position,p-onat-chawki-tabib,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S241,position,p-air-hajem,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S242,event,cour-des-comptes-losses-2026,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S243,worldClaim,agg-public-debt-total-2024,B,reported,Simulated (rubric+examples): 6 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S244,relationship,rel-sana-gammoudi-hannibal-tv-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S245,position,p-int-feki,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S246,declaration,decl-gap-verification,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S247,declaration,decl-essebsi-2018,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S248,position,p-foreign-drif,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S249,relationship,rel-radio-zaytouna-ennahda-reported-influence,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S250,relationship,board-bna-habib-benhadj-kouider,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S251,relationship,rel-saida-sassi-bourguiba-family,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S252,company,poulina,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S253,relationship,board-biat-cyrine-sanchou,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S254,agreement,us-tunisia-defense-roadmap-2020,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S255,relationship,board-gct-bouzouada,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S256,relationship,rel-judiciary-abdessalem-bouchlaka-prosecution,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S257,relationship,rel-united-arab-emirates-presidency-diplomatic,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S258,position,p-gv-slaheddine-baccouche,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S259,event,constitution-2014,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S260,relationship,rel-mebazaa-mechichi-reported-influence,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S261,relationship,rel-khaled-yahyaoui-judiciary-allegation,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S262,event,isie-ordinance-544-2024,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S263,relationship,board-tunisair-loukil-yaakoubi,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S264,position,p-media-ett-gouja,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S265,position,p-speaker-baly,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S266,relationship,rel-european-union-presidency-diplomatic,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S267,relationship,rel-judiciary-said-ferjani-prosecution,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/reported (few-shot regime, lower noise)
S268,agreement,eu-association-agreement,A,documented,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S269,relationship,own-miled-biat-12,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S270,position,p-gv-rejeb-khaznadar,B,reported,Simulated (rubric+examples): 5 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S271,event,laarayedh-sentenced,D,unsubstantiated,Simulated (rubric+examples): 0 tier≤4 source(s), minTier=5, hasTier1=false → D/unsubstantiated (few-shot regime, lower noise)
S272,relationship,board-poulina-bouzguenda,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S273,relationship,board-stb-lotfi-debbabi,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S274,event,nsc-created,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S275,relationship,own-mabrouk-tunisie-valeurs-5047,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S276,relationship,rel-dhafer-sghiri-presidency-reported-influence,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S277,agreement,turkey-tunisia-fta,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S278,position,p-media-ett-dali,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S279,declaration,decl-confiscation-2011,A,documented,Simulated (rubric+examples): 5 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S280,relationship,rel-samir-el-wafi-el-hiwar-ettounsi-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S281,position,p-onat-mohamed-fadhel-mahfoudh,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S282,position,p-def-shili,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S283,relationship,rel-amel-ben-yedder-amen-bank-business,A,documented,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S284,event,belaid-verdict-2024,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S285,position,p-nsa-hamdi,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S286,relationship,rel-lotfi-brahem-ministry-interior-security,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/inferred (few-shot regime, lower noise)
S287,relationship,rel-moncef-mzabi-ben-ali-institutional,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=4, hasTier1=false → C/reported (few-shot regime, lower noise)
S288,position,p-soe-poste-sami-mekki,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S289,worldClaim,agg-tourism-arrivals-2024,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=4, hasTier1=false → B/reported (few-shot regime, lower noise)
S290,agreement,bit-kuwait-1973,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=2, hasTier1=false → B/reported (few-shot regime, lower noise)
S291,relationship,rel-kais-saied-rached-ghannouchi-political-conflict,B,reported,Simulated (rubric+examples): 2 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S292,relationship,rel-european-union-presidency-allegation,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S293,relationship,own-stb-wifak-45,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S294,declaration,decl-2011-regime-8717,A,documented,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=1, hasTier1=true → A/documented (few-shot regime, lower noise)
S295,event,bensedrine-sentenced-2026,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/inferred (few-shot regime, lower noise)
S296,position,p-justice-zouari,B,reported,Simulated (rubric+examples): 3 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S297,event,ev-naufrage-zarzis-2026,B,reported,Simulated (rubric+examples): 4 tier≤4 source(s), minTier=3, hasTier1=false → B/reported (few-shot regime, lower noise)
S298,education,edu-saied-ihl-sanremo,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
S299,relationship,rel-ltdh-national-dialogue-quartet-institutional,C,inferred,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=2, hasTier1=false → C/inferred (few-shot regime, lower noise)
S300,position,p-foreign-kefi,C,reported,Simulated (rubric+examples): 1 tier≤4 source(s), minTier=3, hasTier1=false → C/reported (few-shot regime, lower noise)
