study_id,kind,id,claim,confidence,basis,notes
S245,position,p-int-feki,"Kamel Feki held Minister of the Interior (Ministry of the Interior) between 2023-03-17 and 2024-05-25",,,
S150,relationship,rel-cyrine-ben-ali-ben-ali-family,"Cyrine Ben Ali —[family]→ Zine El Abidine Ben Ali — Daughter of the president.",,,
S129,relationship,rel-mouna-siala-la-presse-tunisie-institutional,"Mouna Siala —[institutional]→ La Presse de Tunisie — Journalist at La Presse de Tunisie.",,,
S124,company,bhci,"Company bhci — Banque de l'Habitat de Côte d'Ivoire (BHCI)",,,
S038,relationship,rel-ennahda-mohamed-ennaceur-political-conflict,"Ennahda Movement —[political-conflict]→ Mohamed Ennaceur — During his presidency of the Assembly, rumours attributed to Ennahda the wish to remove Ennaceur from the speakership. Jeune Afrique reported",,,
S004,position,p-air-laajimi,"Taïeb Laajimi held Chief of Staff of the Air Force (Air Force) between 2008-02-09 and 2012-09-01",,,
S278,position,p-media-ett-dali,"Awatef Dali held President of the Public Television Establishment (Tunisian Television Broadcasting Establishment) between 2021-07-28 and ongoing",,,
S199,event,legislatives-2022,"The 2022-2023 legislative elections are held — The first legislative elections under the 2022 constitution: a two-round single-member ballot for the reduced 161-seat Assembly of the Representatives of",,,
S255,relationship,board-gct-bouzouada,"Omar Bouzouada —[board]→ Tunisian Chemical Group — Managing director (PDG) of the GCT (and of the CPG) appointed by decree no. 2026-79 of 1 June 2026 published in the JORT.",,,
S289,worldClaim,agg-tourism-arrivals-2024,"worldClaim agg-tourism-arrivals-2024",,,
S281,position,p-onat-mohamed-fadhel-mahfoudh,"Mohamed Fadhel Mahfoudh held President of the Bar Association (National Order of Lawyers of Tunisia) between 2013-06-24 and 2016-07-11",,,
S240,position,p-onat-chawki-tabib,"Chawki Tabib held President of the Bar Association (National Order of Lawyers of Tunisia) between 2012-01-05 and 2013-06-24",,,
S142,event,libya-border-surveillance-cameras-2026,"Libyan Border Guard launches electronic surveillance over ~200 km of the Libya–Tunisia border — The Libyan Border Guard (under Tripoli's Interior Ministry) launched the first phase of an electronic-su",,,
S200,position,p-cabdir-elloumi,"Selma Elloumi Rekik held Director of the Presidential Cabinet (Presidency of the Republic) between 2018 and 2019-07-25",,,
S012,relationship,rel-wassila-bourguiba-presidency-reported-influence,"Wassila Bourguiba —[reported-influence]→ Presidency of the Republic — Accounts of the Bourguiba period describe the president's wife as one of the decisive influences inside the palace across more tha",,,
S059,position,p-foreign-jarandi,"Othman Jarandi held Minister of Foreign Affairs (Head of Government) between 2020-09-02 and 2023-02-07",,,
S097,relationship,rel-kais-saied-hichem-mechichi-political-conflict,"Kais Saied —[political-conflict]→ Hichem Mechichi — Dismissal of the head of government, alongside the freezing of parliament.",,,
S191,contract,ctr-elmed-interconnector-2022,"Contract ctr-elmed-interconnector-2022 — Elmed Tunisia–Italy power interconnector (project record) (steg → no winner)",,,
S152,position,p-soe-sonede-ahmed-soula,"Ahmed Soula held Président-Directeur Général (SONEDE) between 2023-07 and ongoing",,,
S293,relationship,own-stb-wifak-45,"STB —[ownership]→ Wifak International Bank — STB holds 4.5% of Wifak Bank (ilboursa WIFAK profile, ~2025-2026): a state bank holding a cross-stake in a private bank. Adds to the documented public shar",,,
S100,event,republic-day-demonstration-2026,"A large demonstration on Republic Day demands Saïed's departure — Nawaat reports a large demonstration on Republic Day, 25 July 2026, demanding the departure of President Kaïs Saïed. The report is sin",,,
S051,relationship,rel-trabelsi-network-presidency-allegation,"Ben Ali / Trabelsi clan network —[allegation]→ Presidency of the Republic — A claim that the Ben Ali-era clan still controls the Tunisian economy unchanged. The documented record complicates it severe",,,
S190,position,p-gv-mohamed-chenik,"Mohamed Chenik held Grand Vizier (Beylical Government) between 1943 and 1943-05",,,
S069,position,p-relaff-khalil,"Mohamed Khalil held Minister of Religious Affairs (Ministry of Religious Affairs) between 2016-01-12 and 2016-08-27",,,
S195,position,p-justice-tjeribi,"Thouraya Jeribi Khémiri held Minister of Justice (Head of Government) between 2020-02-27 and 2020-09-02",,,
S236,position,p-int-khefacha-2,"Hédi Khefacha held Minister of the Interior (Ministry of the Interior) between 1971-10-29 and 1973-03-17",,,
S149,position,p-justice-ayari,"Mohamed Salah Ayari held Minister of Justice (Head of Government) between 1986-02-12 and 1988-04-12",,,
S095,event,ev-cpg-strike-2026-09,"CPG workers' 72-hour strike — The agents and employees of the Compagnie des Phosphates de Gafsa announced in mid-August 2026 a strike for 1–3 September. Demands are not detailed in the report carried ",,,
S003,relationship,rel-lina-ben-mhenni-nawaat-institutional,"Lina Ben Mhenni —[institutional]→ Nawaat — Contributor to Nawaat citizen journalism platform.",,,
S005,position,p-douane-safer,"Mohamed Hédi Safer held Director-General of Customs (Directorate-General of Customs) between 2024-11-25 and verified:2026-07",,,
S218,position,p-cassation-taieb-rached,"Taïeb Rached held President of the Court of Cassation (Court of Cassation) between 2018-11-09 and 2021-08",,,
S226,position,p-media-leaders-habaieb,"Taoufik Habaieb held Editor-in-Chief of Leaders (Leaders) between 2008-10 and ongoing",,,
S123,relationship,rel-kais-saied-chokri-riahi-appointment,"Kais Saied —[appointment]→ Chokri Riahi — National Guard commander appointed by presidential decree on the same day as the new police chief.",,,
S145,position,p-gv-mohamed-larbi-zarrouk,"Mohamed Larbi Zarrouk held Grand Vizier (Beylical Government) between 1815 and 1822",,,
S185,relationship,rel-qatar-ennahda-reported-influence,"Qatar —[reported-influence]→ Ennahda Movement — Qatar is widely described in reporting as having supported Ennahda politically and through Al Jazeera's coverage of the post-2011 transition.",,,
S180,company,investec,"Company investec — Investec (holding de Marwan Mabrouk)",,,
S275,relationship,own-mabrouk-tunisie-valeurs-5047,"Mabrouk Group —[ownership]→ Tunisie Valeurs — The Mabrouk family, via its bank BIAT, acquired 50.47% of Tunisie Valeurs (Fadhel Abdelkefi's stockbroking firm) for 36.6 MTND in early March 2020, then 2",,,
S115,relationship,rel-utap-ugtt-institutional,"Tunisian Union of Agriculture and Fisheries —[institutional]→ UGTT — The third corporatist body alongside the UGTT and UTICA. It was not one of the four organisations of the National Dialogue Quartet ",,,
S233,position,p-foreign-escheikh,"Abdelhamid Escheikh held Minister of Foreign Affairs (Head of Government) between 1988-07-27 and 1990-03-03",,,
S035,event,wb-capture-2010,"The measured scale of state capture — World Bank research later established that firms confiscated from the presidential clan accounted for a very small share of private-sector employment while captur",,,
S037,position,p-bct-nouri,"Fethi Zouhair Nouri held Governor of the Central Bank (Central Bank of Tunisia) between 2024-02-16 and ongoing",,,
S024,relationship,rel-judiciary-saadia-mosbah-prosecution,"Judiciary —[prosecution]→ Saadia Mosbah — Saadia Mosbah was arrested on charges widely considered by human rights organisations to be politically motivated.",,,
S063,position,p-dgsn-benali-1,"Zine El Abidine Ben Ali held Director-General of National Security (Directorate-General of National Security) between 1977-12-01 and 1980-04-01",,,
S272,relationship,board-poulina-bouzguenda,"Ahmed Bouzguenda —[board]→ Poulina Group Holding — Elected board president on 14 June 2023 for three years (agreed rotation between the founding families); the graph position p-poulina-bouzguenda (sta",,,
S079,relationship,own-state-zitouna-6915,"Tunisian State —[ownership]→ Zitouna Bank — The 14 March 2011 confiscation decree (decree-law 2011-13) confiscated El Materi's assets, which de facto nationalised the bank. The 69.15% figure is docume",,,
S203,relationship,board-stb-star-thuillier,"Laurent Thuillier —[board]→ STB — Seat held by the insurer STAR (Société Tunisienne d'Assurance et de Réassurance), represented by Laurent Thuillier — a corporate seat (stb.com.tn). Whether the seat b",,,
S049,relationship,rel-imf-presidency-diplomatic,"International Monetary Fund —[diplomatic]→ Presidency of the Republic — Stalled $1.9 billion IMF loan programme. Rejected by Kais Saied over conditionality.",,,
S298,education,edu-saied-ihl-sanremo,"Education edu-saied-ihl-sanremo — kais-saied Diploma/attendance, International Institute of Humanitarian Law at unknown",,,
S106,position,p-def-zbidi-1,"Abdelkarim Zbidi held Minister of National Defence (Ministry of National Defence) between 2011-03-07 and 2011-12-24",,,
S113,relationship,board-biat-elyes-ben-rayana,"Elyes Ben Rayana —[board]→ BIAT — Administrator since 2019 and member of the Executive Credit Committee (official biography, biat.com.tn).",,,
S050,relationship,rel-court-of-cassation-judiciary-institutional,"Court of Cassation —[institutional]→ Judiciary — The Court of Cassation is the highest court within the Tunisian judicial system.",,,
S254,agreement,us-tunisia-defense-roadmap-2020,"agreement us-tunisia-defense-roadmap-2020 — Signed in Tunis on 30 September 2020 by U.S. Defense Secretary Mark Esper and Tunisian Defense Minister Brahim Bartagi (TAP describes it as a roadmap for mi",,,
S090,agreement,afcfta-ratification,"agreement afcfta-ratification — Tunisia signed the AfCFTA agreement at Kigali on 21 March 2018 with 43 other states, and deposited its instrument of ratification with the African Union Commission on 2",,,
S297,event,ev-naufrage-zarzis-2026,"Migrant boat sinking off Zarzis (15 aboard) — A boat carrying fifteen young Tunisians bound for Italy — fourteen from Ben Guerdane, one from Zarzis, seven of them members of a single family — left the",,,
S208,event,mabrouk-appeal-2026,"The appeal court upholds the money-laundering sentence — The Tunis appeal court confirms the 14-year sentence in the money-laundering case. (date: 2026-07-03)",,,
S083,event,ivd-established,"Truth and Dignity Commission established — The Truth and Dignity Commission (IVD) is established under the Transitional Justice Law as an independent body to investigate human rights violations from 1",,,
S027,relationship,rel-judiciary-slim-riahi-prosecution,"Judiciary —[prosecution]→ Slim Riahi — Prosecution opened in August 2017, after which he resigned the party presidency and the presidency of Club Africain and left the country.",,,
S044,position,p-finance-ben-hammouda,"Hakim Ben Hammouda held Minister of Finance (Ministry of Finance) between 2014-01-29 and 2015-02-06",,,
S026,position,p-cassation-hedi-guediri,"Hédi Guediri held President of the Court of Cassation (Court of Cassation) between 2017-06-14 and 2018-11-09",,,
S056,position,p-dgsp-harroum,"Khelifa Harroum held Director-General of Public Security (Directorate-General of Public Security) between 2019-02-20 and ?",,,
S057,position,p-int-laarayedh,"Ali Laarayedh held Minister of the Interior (Ministry of the Interior) between 2011-12-24 and 2013-03-13",,,
S159,event,bensedrine-financial-brigade-2026,"Sihem Bensedrine heard by the financial brigade, left free — Sihem Bensedrine, former president of the Truth and Dignity Commission (IVD), was heard on 7 August 2026 by the financial brigade (brigade ",,,
S013,contract,ctr-sonede-zarat-dessalement-2023,"Contract ctr-sonede-zarat-dessalement-2023 — Zarat seawater desalination station completed (sonede → no winner)",,,
S292,relationship,rel-european-union-presidency-allegation,"European Union —[allegation]→ Presidency of the Republic — A claim that European governments engineered or underwrote the post-2021 concentration of power in exchange for migration control. Documented",,,
S110,company,airbus,"Company airbus — Airbus SE",,,
S162,position,p-gv-mohamed-aziz-bouattour,"Mohamed Aziz Bouattour held Grand Vizier (Beylical Government) between 1882-10 and 1907-02-04",,,
S127,position,p-foreign-chatti,"Habib Chatti held Minister of Foreign Affairs (Head of Government) between 1974 and 1977-12-24",,,
S252,company,poulina,"Company poulina — Poulina Group Holding (PGH)",,,
S140,contract,ctr-tunisie-autoroutes-a1-reconcession-2026,"Contract ctr-tunisie-autoroutes-a1-reconcession-2026 — A1 Hammam Lif-Sousse concession renewal to Tunisie Autoroutes (ministry-equipment-housing → tunisie-autoroutes)",,,
S179,position,p-finance-chalghoum-2,"Mohamed Ridha Chalghoum held Minister of Finance (Ministry of Finance) between 2017-12 and 2020-02-27",,,
S001,position,p-media-attessia-ouertani,"Naoufel Ouertani held Owner of Attessia TV (Attessia TV) between 2018 and ongoing",,,
S025,position,p-def-kallel,"Abdallah Kallel held Minister of National Defence (Ministry of National Defence) between 1990-03-03 and 1991-02-20",,,
S283,relationship,rel-amel-ben-yedder-amen-bank-business,"Amel Ben Yedder —[business]→ Amen Bank — Amen Bank sits inside a family holding of more than fifty companies, held through PGI Holding by members of the Ben Yedder family. This is one of the few large",,,
S107,education,edu-nouri-maitrise-fseg-1987,"Education edu-nouri-maitrise-fseg-1987 — fethi-zouhair-nouri Maîtrise en Sciences économiques — Planification (FSEG Tunis) at unknown",,,
S078,position,p-land-hamdi,"Mohamed Salah Hamdi held Chief of Staff of the Land Army (Land Army) between 2013-07-08 and 2014-07-30",,,
S131,event,reshuffle-may-2024,"The interior minister is replaced amid factional conflict — Kamel Feki, widely seen as close to the president, is replaced by the governor of Ariana. Le Monde reported the reshuffle in the context of ",,,
S286,relationship,rel-lotfi-brahem-ministry-interior-security,"Lotfi Brahem —[security]→ Ministry of the Interior — National Guard commander who then became the minister in charge of it.",,,
S205,worldClaim,cc-turkey-fta-kills-industry,"worldClaim cc-turkey-fta-kills-industry",,,
S184,event,inlucc-established,"National Anti-Corruption Authority established — The National Anti-Corruption Authority (INLUCC) is established under the 2014 constitution as an independent body to investigate and prevent corruption",,,
S047,relationship,rel-kamel-eltaief-presidency-reported-influence,"Kamel Eltaief —[reported-influence]→ Presidency of the Republic — Long described as an influential political intermediary with access at the highest levels. What is documented is the relationship and ",,,
S284,event,belaid-verdict-2024,"Four death sentences, eleven years after Belaid's killing — Twenty-three defendants were tried; four were sentenced to death, two to life, and others to terms of two to a hundred and twenty years. The",,,
S103,relationship,rel-rafaa-ben-achour-judiciary-appointment,"Rafaa Ben Achour —[appointment]→ Judiciary — Judge on the African Court on Human and Peoples' Rights.",,,
S282,position,p-def-shili,"Khaled Shili held Minister of National Defence (Ministry of National Defence) between 2024-08-25 and ongoing",,,
S015,event,conspiracy-trial-2025,"The mass conspiracy trial resumes — Dozens of defendants, including opposition politicians, former officials and lawyers, tried on charges of conspiring against state security. (date: 2025-04-18)",,,
S014,relationship,rel-mohamed-ennaceur-youssef-chahed-political-alliance,"Mohamed Ennaceur —[political-alliance]→ Youssef Chahed — The working accord of the interim: Jeune Afrique reported that the Assembly's decision to install Ennaceur as interim president — bypassing the",,,
S296,position,p-justice-zouari,"Abderrahim Zouari held Minister of Justice (Head of Government) between 1991-02-20 and 1992-06-09",,,
S243,worldClaim,agg-public-debt-total-2024,"worldClaim agg-public-debt-total-2024",,,
S002,position,p-relaff-battikh,"Othman Battikh held Minister of Religious Affairs (Ministry of Religious Affairs) between 2015-02-06 and 2016-01-12",,,
S046,relationship,rel-csm-judiciary-institutional,"Superior Council of the Judiciary —[institutional]→ Judiciary — The Supreme Judicial Council was the self-governing body of the judiciary responsible for appointments and discipline of judges.",,,
S011,position,p-isie-bouasker,"Farouk Bouasker held President of the Independent High Authority for Elections (Independent High Authority for Elections) between 2022-05-09 and verified:2026-06",,,
S202,position,p-pm-chahed,"Youssef Chahed held Head of Government (Head of Government) between 2016-08-27 and 2020-02-27",,,
S134,relationship,rel-youssef-bayah-biat-institutional,"Youssef Bayahi —[institutional]→ BIAT — Founder of Bayahi Group — aluminium and insurance empire.",,,
S096,worldClaim,agg-public-debt-external-2024,"worldClaim agg-public-debt-external-2024",,,
S176,position,p-finance-zribi,"Lamia Zribi held Minister of Finance (Ministry of Finance) between 2016-08-27 and 2017-09-06",,,
S188,relationship,rel-olfa-riahi-el-hiwar-ettounsi-institutional,"Olfa Riahi —[institutional]→ El Hiwar Ettounsi — Journalist and presenter on El Hiwar Ettounsi.",,,
S086,event,steg-rationing-resumes-2026,"STEG resumes electricity rationing as the 2026 supply crisis continues — STEG resumed electricity rationing in early August 2026; the union blames the responsible minister and disputes the proposed so",,,
S061,licence,lic-tunisie-telecom-4g-2016,"Licence lic-tunisie-telecom-4g-2016 — spectrum holder tunisie-telecom issuer etat-tunisien grant 2016-03-15",,,
S209,worldClaim,contested-algerie-frontiere-litige-2026,"worldClaim contested-algerie-frontiere-litige-2026",,,
S148,relationship,own-quinta-nessma-25-2008,"Quinta Communications —[ownership]→ Nessma TV — Quinta Communications (Franco-Tunisian tycoon Tarek Ben Ammar, 25%) acquired 25% of Nessma TV in the same May 2008 transaction (Bloomberg/Variety/Al Baw",,,
S089,relationship,own-state-alkarama-investec,"Tunisian State —[ownership]→ Al Karama Holding — Al Karama (""Dignity"") is the public holding created in June 2012 by the Jebali government to manage the state's equity in confiscated companies await",,,
S231,event,army-founded,"The national army is founded — Founding of the Tunisian armed forces, kept small and politically constrained from the outset. (date: 1956-06-24)",,,
S071,position,p-gv-tahar-ben-ammar,"Tahar Ben Ammar held Grand Vizier (Beylical Government) between 1954 and 1956-03-20",,,
S269,relationship,own-miled-biat-12,"Aziz Miled —[ownership]→ BIAT — The TTS group of Aziz Miled held 12% of BIAT in 2010, allied with the Mabrouk group (Wikipedia FR, citing Kapitalis 04/06/2010).",,,
S263,relationship,board-tunisair-loukil-yaakoubi,"Basma Loukil Yaakoubi —[board]→ Tunisair — Chairman of the Tunisair board of directors elected by the board of 7 July 2025; state representative director on behalf of the Finance ministry and director",,,
S053,relationship,board-bna-ahmed-ben-moulahem,"Ahmed Ben Moulahem —[board]→ BNA — Acting DG of BNA since the board meeting of 9 March 2023 (previously DGA of the bank); still ""DG par intérim"" on the ilboursa 2026 profile. The graph position p-ba",,,
S098,event,ltdh-suspended-2026,"The human rights league is suspended — The LTDH, founded in 1977, a member of the National Dialogue Quartet and a co-recipient of the 2015 Nobel Peace Prize, was notified of a one-month suspension of ",,,
S092,event,dhif-succession-2025,"The intelligence succession stalls — Reporting describes the head of defence-security intelligence as having his retirement deferred, with the agency unable to complete a succession. A designated succ",,,
S204,position,p-relaff-se-chebbi,"Ali Chebbi held Secretary of State to the Prime Minister for Religious Affairs (Head of Government) between 1990-03-03 and 1992-03-09",,,
S265,position,p-speaker-baly,"Slaheddine Baly held Speaker of Parliament (Parliament) between 1988-10-14 and 1990-03-14",,,
S028,relationship,rel-tahar-ben-ammar-bourguiba-institutional,"Tahar Ben Ammar —[institutional]→ Habib Bourguiba — First Prime Minister of independent Tunisia who negotiated independence alongside Bourguiba.",,,
S022,event,ivd-final-report,"Truth and Dignity Commission submits final report — The Truth and Dignity Commission (IVD), chaired by Sihem Bensedrine, submits its final report documenting human rights violations from 1955 to 2013.",,,
S215,relationship,rel-nesrine-ben-ali-ben-ali-family,"Nesrine Ben Ali —[family]→ Zine El Abidine Ben Ali — Daughter of the president.",,,
S033,event,ugtt-khelifi-death-2026,"Death of Chamseddine Khelifi, secretary-general of the UGTT General Transport Federation — The UGTT announced on 8 August 2026 the death of Chamseddine Khelifi, secretary-general of the General Transp",,,
S217,relationship,own-bukhatir-scit-2026-08-20,"Bukhatir Group —[ownership]→ Abou Khater real estate project — Bukhatir Group (Sharjah, UAE) is the parent of SCIT — Sport Cities International Tunis — the Tunisian vehicle of the Tunis Sports City pr",,,
S101,event,ben-achour-commission,"Ben Achour Commission established for post-revolution transition — The Higher Authority for the Achievement of the Revolution's Objectives, chaired by Yadh Ben Achour, was established by decree to ste",,,
S082,position,p-admin-raoudha-mechichi,"Raoudha Mechichi held President of the Administrative Court (Administrative Court) between 2011-09 and 2014",,,
S264,position,p-media-ett-gouja,"Moncef Gouja held President of the Public Television Establishment (Tunisian Television Broadcasting Establishment) between 2007-08-30 and 2008-07-07",,,
S085,position,p-foreign-jerandi-2013,"Othman Jarandi held Minister of Foreign Affairs (Head of Government) between 2013-03-15 and 2014-01-29",,,
S062,event,mabrouk-chahed-sentenced,"The country's richest businessman and a former prime minister are convicted — Marouane Mabrouk sentenced to 20 years on charges including money laundering, embezzlement and receiving unlawful benefits",,,
S271,event,laarayedh-sentenced,"A former prime minister sentenced to 24 years — Ali Laarayedh, prime minister in 2013-2014, sentenced along with seven others. (date: 2026-02-27)",,,
S256,relationship,rel-judiciary-abdessalem-bouchlaka-prosecution,"Judiciary —[prosecution]→ Rafik Abdessalem — Former foreign minister Rafik Abdessalem Bouchlaka referred to the criminal chamber of the economic-financial judicial pole over the ""Chinese donation"" a",,,
S253,relationship,board-biat-cyrine-sanchou,"Cyrine Sanchou —[board]→ BIAT — Administrator representing minority shareholders since 2023, Audit Committee member (official biography, biat.com.tn).",,,
S006,position,p-ig-laajimi,"Taïeb Laajimi held Inspector-General of the Armed Forces (Tunisian Armed Forces) between 2012-09 and 2013-08-22",,,
S261,relationship,rel-khaled-yahyaoui-judiciary-allegation,"Khaled Salah Yahyaoui —[allegation]→ Judiciary — A stronger version of the reported-influence claim circulates, holding that the presidential security chief personally directs state decisions beyond a",,,
S221,position,p-admin-abdessalem-mehdi-grissiaa,"Abdessalem Mehdi Grissiaa held President of the Administrative Court (Administrative Court) between 2016-04 and ongoing",,,
S084,event,2014-constitution-adopted,"Tunisia adopts new constitution — The Constituent Assembly adopts the 2014 Tunisian constitution, considered one of the most progressive in the Arab world. It establishes a semi- presidential system, ",,,
S111,agreement,bit-germany-1963,"agreement bit-germany-1963 — One of the oldest investment treaties in the world: signed at Tunis on 20 December 1963 by Oskar Schlitter for the Federal Republic of Germany and Ahmed Ben Salah for Tuni",,,
S274,event,nsc-created,"The National Security Council is formally established — Decree 2017-70 sets out the official architecture of Tunisian security decision-making: a council chaired by the president, with the heads of go",,,
S147,relationship,rel-beji-caid-essebsi-youssef-chahed-political-conflict,"Beji Caid Essebsi —[political-conflict]→ Youssef Chahed — The president's break with his own head of government split Nidaa Tounes and ended the parliamentary majority the 2014 election had produced. ",,,
S279,declaration,decl-confiscation-2011,"Declaration decl-confiscation-2011 — asset-declaration by regime 2011-03-14",,,
S154,event,july-25-2021,"Saied dismisses the government and freezes parliament — The president dismisses the head of government, freezes parliament, lifts parliamentary immunity and assumes expanded executive authority. Withi",,,
S054,position,p-dgsn-ghodhbani,"Mohamed Imed Ghodhbani held Director-General of National Security (Directorate-General of National Security) between 2014-03-08 and 2015-03",,,
S125,worldClaim,agg-tourism-receipts-2024,"worldClaim agg-tourism-receipts-2024",,,
S039,position,p-air-el-fehri,"Abdelhamid El Fehri held Chief of Staff of the Air Force (Air Force) between 1985-09-16 and <=2002-07-04",,,
S198,relationship,rel-mohamed-ennaceur-nidaa-tounes-party,"Mohamed Ennaceur —[party]→ Nidaa Tounes — Interim president of the party between Beji Caid Essebsi's move to the presidency of the republic and the leadership contest that split it.",,,
